x: 4336.600098, y: 6384.000000 
x: 3839.000000, y: 6397.200195 
x: 5561.200195, y: 6328.500000 
x: 145.699997, y: 517.000000 
x: 272.600006, y: 240.100006 
x: 122.900002, y: 621.900024 
x: 5961.600098, y: 6274.500000 
x: 6163.399902, y: 6092.799805 
x: 6382.100098, y: 5517.200195 
x: 6416.399902, y: 3607.899902 
x: 1769.300049, y: 6414.200195 
x: 2238.699951, y: 6426.399902 
x: 484.100006, y: 6266.299805 
x: 1156.300049, y: 24.299999 
x: 3086.699951, y: 3072.500000 
x: 3086.699951, y: 3072.500000 
x: 5616.899902, y: 37.599998 
x: 3943.699951, y: 32.000000 
x: 6265.399902, y: 73.000000 
x: 120.900002, y: 6008.000000 
x: 30.799999, y: 3064.000000 
x: 128.300003, y: 6091.299805 
x: 6434.500000, y: 1065.099976 
x: 28.299999, y: 1205.599976
